ds;y
2020-10-24 02:00:00;5
2020-10-24 02:00:00;3
2020-10-24 13:00:00;5
2020-10-23 23:00:00;3
2020-10-20 18:00:00;4
2020-10-22 05:00:00;5
2020-10-20 21:00:00;1
2020-10-23 23:00:00;1
2020-10-24 00:00:00;1
2020-10-25 06:00:00;3
2020-10-23 23:00:00;5
2020-10-25 19:00:00;2
2020-10-19 01:00:00;2
2020-10-25 01:00:00;5
2020-10-24 08:00:00;1
2020-10-22 11:00:00;5
2020-10-21 15:00:00;5
2020-10-24 23:00:00;3
2020-10-19 15:00:00;5
2020-10-19 08:00:00;4
2020-10-20 05:00:00;3
2020-10-19 22:00:00;3
2020-10-21 03:00:00;4
2020-10-20 17:00:00;2
2020-10-23 16:00:00;5
2020-10-23 01:00:00;4
2020-10-25 11:00:00;1
2020-10-18 13:00:00;3
2020-10-19 03:00:00;2
2020-10-23 01:00:00;5
2020-10-19 19:00:00;3
2020-10-22 14:00:00;1
2020-10-20 13:00:00;5
2020-10-22 11:00:00;5
2020-10-19 13:00:00;3
2020-10-25 08:00:00;2
2020-10-18 11:00:00;4
2020-10-20 04:00:00;4
2020-10-20 16:00:00;2
2020-10-19 07:00:00;1
2020-10-23 10:00:00;4
2020-10-19 17:00:00;5
2020-10-19 13:00:00;5
2020-10-20 07:00:00;1
2020-10-25 04:00:00;1
2020-10-20 00:00:00;2
2020-10-23 23:00:00;1
2020-10-24 12:00:00;3
2020-10-22 19:00:00;2
2020-10-18 10:00:00;5
2020-10-19 23:00:00;4
2020-10-20 12:00:00;4
2020-10-20 03:00:00;5
2020-10-22 04:00:00;4
2020-10-21 02:00:00;2
2020-10-20 19:00:00;2
2020-10-23 16:00:00;5
2020-10-19 15:00:00;4
2020-10-19 13:00:00;3
2020-10-23 19:00:00;4
2020-10-24 05:00:00;3
2020-10-20 05:00:00;4
2020-10-21 17:00:00;4
2020-10-19 08:00:00;1
2020-10-19 16:00:00;3
2020-10-21 04:00:00;4
2020-10-22 10:00:00;1
2020-10-22 07:00:00;5
2020-10-21 17:00:00;3
2020-10-19 07:00:00;1
2020-10-18 01:00:00;3
2020-10-19 20:00:00;5
2020-10-22 06:00:00;3
2020-10-22 15:00:00;3
2020-10-18 20:00:00;2
2020-10-23 16:00:00;5
2020-10-22 10:00:00;1
2020-10-21 02:00:00;5
2020-10-19 20:00:00;3
2020-10-22 15:00:00;2
2020-10-25 19:00:00;5
2020-10-24 04:00:00;5
2020-10-19 03:00:00;2
2020-10-23 11:00:00;4
2020-10-18 20:00:00;2
2020-10-18 01:00:00;5
2020-10-22 05:00:00;2
2020-10-25 11:00:00;2
2020-10-20 16:00:00;3
2020-10-24 08:00:00;4
2020-10-20 08:00:00;1
2020-10-23 14:00:00;2
2020-10-21 22:00:00;5
2020-10-21 09:00:00;2
2020-10-24 03:00:00;2
2020-10-20 22:00:00;3
