"Origin","Destination","Speed","HOUR","DATE"
1,3,0.0166666666666667,0,"2021-10-11"
1,4,0.0333333333333333,0,"2021-10-11"
1,7,0.0166666666666667,0,"2021-10-11"
1,10,0.0166666666666667,0,"2021-10-11"
2,6,0.0166666666666667,0,"2021-10-11"
3,4,0.0166666666666667,0,"2021-10-11"
3,5,0.0166666666666667,0,"2021-10-11"
1,4,0.0166666666666667,1,"2021-10-11"
1,9,0.0166666666666667,1,"2021-10-11"
1,10,0.0166666666666667,1,"2021-10-11"
2,3,0.0166666666666667,1,"2021-10-11"
2,10,0.0333333333333333,1,"2021-10-11"
3,7,0.0166666666666667,1,"2021-10-11"
3,8,0.0166666666666667,1,"2021-10-11"
4,6,0.0333333333333333,1,"2021-10-11"
4,8,0.0333333333333333,1,"2021-10-11"
5,6,0.0166666666666667,1,"2021-10-11"
5,7,0.0166666666666667,1,"2021-10-11"
6,9,0.0166666666666667,1,"2021-10-11"
1,3,0.0333333333333333,2,"2021-10-11"
1,9,0.0333333333333333,2,"2021-10-11"
1,10,0.0166666666666667,2,"2021-10-11"
2,8,0.0166666666666667,2,"2021-10-11"
3,8,0.0166666666666667,2,"2021-10-11"
3,9,0.0166666666666667,2,"2021-10-11"
3,10,0.0166666666666667,2,"2021-10-11"
4,7,0.0166666666666667,2,"2021-10-11"
4,8,0.0166666666666667,2,"2021-10-11"
5,9,0.0166666666666667,2,"2021-10-11"
5,10,0.0166666666666667,2,"2021-10-11"
6,7,0.0333333333333333,2,"2021-10-11"
7,9,0.0166666666666667,2,"2021-10-11"
7,10,0.0166666666666667,2,"2021-10-11"
1,9,0.0333333333333333,3,"2021-10-11"
2,7,0.0333333333333333,3,"2021-10-11"
2,9,0.0166666666666667,3,"2021-10-11"
3,8,0.0166666666666667,3,"2021-10-11"
3,10,0.0166666666666667,3,"2021-10-11"
4,7,0.0166666666666667,3,"2021-10-11"
4,10,0.0166666666666667,3,"2021-10-11"
5,6,0.0166666666666667,3,"2021-10-11"
5,7,0.0166666666666667,3,"2021-10-11"
6,7,0.0166666666666667,3,"2021-10-11"
8,9,0.0166666666666667,3,"2021-10-11"
8,10,0.0166666666666667,3,"2021-10-11"
9,10,0.0166666666666667,3,"2021-10-11"
1,2,0.0166666666666667,4,"2021-10-11"
1,3,0.0166666666666667,4,"2021-10-11"
1,5,0.0166666666666667,4,"2021-10-11"
1,6,0.0166666666666667,4,"2021-10-11"
1,9,0.0166666666666667,4,"2021-10-11"
2,4,0.0166666666666667,4,"2021-10-11"
2,7,0.05,4,"2021-10-11"
3,4,0.0166666666666667,4,"2021-10-11"
3,5,0.0166666666666667,4,"2021-10-11"
4,10,0.0166666666666667,4,"2021-10-11"
5,6,0.0166666666666667,4,"2021-10-11"
6,8,0.0166666666666667,4,"2021-10-11"
9,10,0.0333333333333333,4,"2021-10-11"
1,4,0.0166666666666667,5,"2021-10-11"
1,6,0.0166666666666667,5,"2021-10-11"
1,7,0.0333333333333333,5,"2021-10-11"
2,3,0.0333333333333333,5,"2021-10-11"
2,4,0.0166666666666667,5,"2021-10-11"
2,6,0.0333333333333333,5,"2021-10-11"
2,8,0.0333333333333333,5,"2021-10-11"
2,9,0.0166666666666667,5,"2021-10-11"
3,4,0.0333333333333333,5,"2021-10-11"
3,5,0.0333333333333333,5,"2021-10-11"
3,6,0.0333333333333333,5,"2021-10-11"
3,7,0.05,5,"2021-10-11"
3,8,0.0166666666666667,5,"2021-10-11"
3,9,0.0166666666666667,5,"2021-10-11"
4,6,0.0166666666666667,5,"2021-10-11"
4,7,0.0166666666666667,5,"2021-10-11"
4,8,0.05,5,"2021-10-11"
4,9,0.0666666666666667,5,"2021-10-11"
4,10,0.05,5,"2021-10-11"
5,6,0.0166666666666667,5,"2021-10-11"
5,7,0.05,5,"2021-10-11"
5,8,0.0333333333333333,5,"2021-10-11"
5,9,0.0333333333333333,5,"2021-10-11"
5,10,0.0166666666666667,5,"2021-10-11"
6,7,0.05,5,"2021-10-11"
6,8,0.0666666666666667,5,"2021-10-11"
6,9,0.1,5,"2021-10-11"
6,10,0.1,5,"2021-10-11"
7,8,0.166666666666667,5,"2021-10-11"
7,9,0.166666666666667,5,"2021-10-11"
7,10,0.0833333333333333,5,"2021-10-11"
8,9,0.216666666666667,5,"2021-10-11"
8,10,0.133333333333333,5,"2021-10-11"
9,10,0.266666666666667,5,"2021-10-11"
1,3,0.0166666666666667,6,"2021-10-11"
1,4,0.0166666666666667,6,"2021-10-11"
1,5,0.05,6,"2021-10-11"
1,6,0.0166666666666667,6,"2021-10-11"
1,7,0.05,6,"2021-10-11"
1,8,0.0166666666666667,6,"2021-10-11"
